tree_id,plant_type,species
25533,Tree,Phoenix canariensis :: Canary Island Date Palm
25530,Tree,Phoenix canariensis :: Canary Island Date Palm
25529,Tree,Phoenix canariensis :: Canary Island Date Palm
24961,Tree,Phoenix canariensis :: Canary Island Date Palm
26535,Tree,Phoenix canariensis :: Canary Island Date Palm
25536,Tree,Phoenix canariensis :: Canary Island Date Palm
25538,Tree,Phoenix canariensis :: Canary Island Date Palm
25539,Tree,Phoenix canariensis :: Canary Island Date Palm
25540,Tree,Phoenix canariensis :: Canary Island Date Palm
25535,Tree,Phoenix canariensis :: Canary Island Date Palm
25537,Tree,Phoenix canariensis :: Canary Island Date Palm
27480,Tree,Phoenix canariensis :: Canary Island Date Palm
24997,Tree,Phoenix canariensis :: Canary Island Date Palm
25028,Tree,Phoenix canariensis :: Canary Island Date Palm
26536,Tree,Phoenix canariensis :: Canary Island Date Palm
27481,Tree,Phoenix canariensis :: Canary Island Date Palm
26537,Tree,Phoenix canariensis :: Canary Island Date Palm
16287,Tree,Palm (unknown Genus) :: Palm Spp
104834,Tree,Tristaniopsis laurina :: Swamp Myrtle
9266,Tree,Pittosporum undulatum :: Victorian Box
9275,Tree,Pittosporum undulatum :: Victorian Box
16103,Tree,Pyrus calleryana :: Ornamental Pear
16341,Tree,Pyrus calleryana :: Ornamental Pear
16339,Tree,Pyrus calleryana :: Ornamental Pear
9256,Tree,Pittosporum undulatum :: Victorian Box
9013,Tree,Corymbia ficifolia :: Red Flowering Gum
9257,Tree,Corymbia ficifolia :: Red Flowering Gum
122682,Tree,Tree(s) ::
23333,Tree,Quercus suber :: Cork Oak
23332,Tree,Quercus suber :: Cork Oak
23354,Tree,Quercus suber :: Cork Oak
23355,Tree,Quercus suber :: Cork Oak
23581,Tree,Quercus suber :: Cork Oak
23582,Tree,Quercus suber :: Cork Oak
29655,Tree,Quercus suber :: Cork Oak
29643,Tree,Quercus suber :: Cork Oak
29653,Tree,Quercus suber :: Cork Oak
29644,Tree,Quercus suber :: Cork Oak
29654,Tree,Quercus suber :: Cork Oak
13298,Tree,Myoporum laetum :: Myoporum
13300,Tree,Myoporum laetum :: Myoporum
13299,Tree,Myoporum laetum :: Myoporum
11752,Tree,Ulmus pumila :: Siberian Elm
30071,Tree,Pinus radiata :: Monterey Pine
30072,Tree,Pinus radiata :: Monterey Pine
2286,Tree,Pinus radiata :: Monterey Pine
2288,Tree,Pinus radiata :: Monterey Pine
11674,Tree,Pinus radiata :: Monterey Pine
109628,Tree,Pinus radiata :: Monterey Pine
97225,Tree,Ulmus parvifolia :: Chinese Elm
16331,Tree,Pyrus kawakamii :: Evergreen Pear
26760,Tree,Pyrus kawakamii :: Evergreen Pear
16161,Tree,Pyrus kawakamii :: Evergreen Pear
447,Tree,Melaleuca quinquenervia :: Cajeput
461,Tree,Melaleuca quinquenervia :: Cajeput
16018,Tree,Pyrus calleryana :: Ornamental Pear
16009,Tree,Pyrus calleryana :: Ornamental Pear
16012,Tree,Pyrus calleryana :: Ornamental Pear
16115,Tree,Pyrus calleryana :: Ornamental Pear
16114,Tree,Pyrus calleryana :: Ornamental Pear
16113,Tree,Pyrus calleryana :: Ornamental Pear
16108,Tree,Pyrus calleryana :: Ornamental Pear
16337,Tree,Pyrus calleryana :: Ornamental Pear
16336,Tree,Pyrus calleryana :: Ornamental Pear
16334,Tree,Pyrus calleryana :: Ornamental Pear
16338,Tree,Pyrus calleryana :: Ornamental Pear
16333,Tree,Pyrus calleryana :: Ornamental Pear
16335,Tree,Pyrus calleryana :: Ornamental Pear
16332,Tree,Pyrus calleryana :: Ornamental Pear
16345,Tree,Pyrus calleryana :: Ornamental Pear
16349,Tree,Pyrus calleryana :: Ornamental Pear
26915,Tree,Quercus agrifolia :: Coast Live Oak
29652,Tree,Quercus agrifolia :: Coast Live Oak
29651,Tree,Quercus agrifolia :: Coast Live Oak
96227,Tree,Quercus agrifolia :: Coast Live Oak
96226,Tree,Quercus agrifolia :: Coast Live Oak
11660,Tree,Syzygium paniculatum :: Brush Cherry
11707,Tree,Syzygium paniculatum :: Brush Cherry
29642,Tree,Cercis occidentalis :: Western Redbud
16696,Tree,Lophostemon confertus :: Brisbane Box
16695,Tree,Lophostemon confertus :: Brisbane Box
16694,Tree,Lophostemon confertus :: Brisbane Box
16699,Tree,Lophostemon confertus :: Brisbane Box
16691,Tree,Lophostemon confertus :: Brisbane Box
9274,Tree,Pittosporum crassifolium :: Karo Tree
28648,Tree,Prunus serrulata :: Ornamental Cherry
28644,Tree,Prunus serrulata :: Ornamental Cherry
28640,Tree,Prunus serrulata :: Ornamental Cherry
104785,Tree,Tristaniopsis laurina :: Swamp Myrtle
98709,Tree,Tristaniopsis laurina :: Swamp Myrtle
15907,Tree,Tristaniopsis laurina :: Swamp Myrtle
15908,Tree,Tristaniopsis laurina :: Swamp Myrtle
15906,Tree,Tristaniopsis laurina :: Swamp Myrtle
11709,Tree,Acacia melanoxylon :: Blackwood Acacia
97226,Tree,Acacia melanoxylon :: Blackwood Acacia
97223,Tree,Acacia melanoxylon :: Blackwood Acacia
29645,Tree,Pistacia chinensis :: Chinese Pistache
29646,Tree,Pistacia chinensis :: Chinese Pistache
29650,Tree,Pistacia chinensis :: Chinese Pistache
29648,Tree,Pistacia chinensis :: Chinese Pistache
29647,Tree,Pistacia chinensis :: Chinese Pistache
29649,Tree,Pistacia chinensis :: Chinese Pistache
91237,Tree,Acacia stenophylla :: Shoestring Acacia
91251,Tree,Acacia stenophylla :: Shoestring Acacia
91252,Tree,Acacia stenophylla :: Shoestring Acacia
91254,Tree,Acacia stenophylla :: Shoestring Acacia
91256,Tree,Acacia stenophylla :: Shoestring Acacia
91255,Tree,Acacia stenophylla :: Shoestring Acacia
91258,Tree,Acacia stenophylla :: Shoestring Acacia
91259,Tree,Acacia stenophylla :: Shoestring Acacia
91263,Tree,Acacia stenophylla :: Shoestring Acacia
91264,Tree,Acacia stenophylla :: Shoestring Acacia
91265,Tree,Acacia stenophylla :: Shoestring Acacia
91266,Tree,Acacia stenophylla :: Shoestring Acacia
16693,Tree,Corymbia ficifolia :: Red Flowering Gum
16692,Tree,Corymbia ficifolia :: Red Flowering Gum
16690,Tree,Corymbia ficifolia :: Red Flowering Gum
19423,Tree,Corymbia ficifolia :: Red Flowering Gum
19428,Tree,Corymbia ficifolia :: Red Flowering Gum
19460,Tree,Corymbia ficifolia :: Red Flowering Gum
11683,Tree,Corymbia ficifolia :: Red Flowering Gum
11681,Tree,Corymbia ficifolia :: Red Flowering Gum
11672,Tree,Corymbia ficifolia :: Red Flowering Gum
11776,Tree,Corymbia ficifolia :: Red Flowering Gum
11778,Tree,Corymbia ficifolia :: Red Flowering Gum
11782,Tree,Corymbia ficifolia :: Red Flowering Gum
11768,Tree,Corymbia ficifolia :: Red Flowering Gum
11764,Tree,Corymbia ficifolia :: Red Flowering Gum
30038,Tree,Corymbia ficifolia :: Red Flowering Gum
11831,Tree,Corymbia ficifolia :: Red Flowering Gum
11830,Tree,Corymbia ficifolia :: Red Flowering Gum
8537,Tree,Pinus canariensis :: Canary Island Pine
4968,Tree,Pinus canariensis :: Canary Island Pine
4966,Tree,Pinus canariensis :: Canary Island Pine
4970,Tree,Pinus canariensis :: Canary Island Pine
21456,Tree,Cupressus macrocarpa :: Monterey Cypress
2289,Tree,Cupressus macrocarpa :: Monterey Cypress
2287,Tree,Cupressus macrocarpa :: Monterey Cypress
2290,Tree,Cupressus macrocarpa :: Monterey Cypress
11703,Tree,Cupressus macrocarpa :: Monterey Cypress
11748,Tree,Cupressus macrocarpa :: Monterey Cypress
11746,Tree,Cupressus macrocarpa :: Monterey Cypress
22878,Tree,Cupressus macrocarpa :: Monterey Cypress
1820,Tree,Washingtonia robusta :: Mexican Fan Palm
12922,Tree,Acacia decurrens :: Acacia: Silver Wattle
12924,Tree,Acacia decurrens :: Acacia: Silver Wattle
16343,Tree,Callistemon citrinus :: Lemon Bottlebrush
16350,Tree,Callistemon citrinus :: Lemon Bottlebrush
16344,Tree,Callistemon citrinus :: Lemon Bottlebrush
9019,Tree,Callistemon citrinus :: Lemon Bottlebrush
11751,Tree,Arbutus 'Marina' :: Hybrid Strawberry Tree
11750,Tree,Arbutus 'Marina' :: Hybrid Strawberry Tree
11754,Tree,Arbutus 'Marina' :: Hybrid Strawberry Tree
11701,Tree,Arbutus 'Marina' :: Hybrid Strawberry Tree
11705,Tree,Arbutus 'Marina' :: Hybrid Strawberry Tree
11670,Tree,Arbutus 'Marina' :: Hybrid Strawberry Tree
11685,Tree,Arbutus 'Marina' :: Hybrid Strawberry Tree
16346,Tree,Callistemon viminalis :: Weeping Bottlebrush
